,,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4
CCI,Contraband,Quantity of Marijuana Seized (grams with packaging),,,,0.40,1.80,,,8.20,20.00,37.20
CCI,Contraband,Quantity of Methamphetamine Seized (grams with packaging),,,,144.00,,36.80,5.00,25.80,10.00,
CCI,Contraband,Quantity of Suboxone Seized (number of strips),,,,,,,84.00,,,
CCI,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams with packaging),,,,,4.20,,1.20,2.00,,8.82
CCI,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams),,,,2.00,,,,,,
CCI,Contraband,Suboxone Seizure Events,,,,,,,2.00,,,
CCI,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,36.00,20.00,30.00,28.00,20.00,30.00,50.00,44.00,74.00,60.00
CCI,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,11.00,15.00,15.00,30.00,15.00,30.00,18.00,21.00,21.00,21.00
CCI,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
CCI,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,2.27,2.73,0.83,1.21,0.32,0.15,0.10,2.34,7.50,1.07
CCI,Lockdowns and Modified Programs,Lockdowns,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
CCI,Number and Housing Level of Incarcerated Persons,Camps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCI,Number and Housing Level of Incarcerated Persons,Condemned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCI,Number and Housing Level of Incarcerated Persons,Level I,2.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,3.00,5.00
CCI,Number and Housing Level of Incarcerated Persons,Level II,178.00,175.00,173.00,163.00,413.00,642.00,827.00,863.00,855.00,860.00
CCI,Number and Housing Level of Incarcerated Persons,Level III,730.00,721.00,681.00,816.00,681.00,709.00,726.00,742.00,743.00,686.00
CCI,Number and Housing Level of Incarcerated Persons,Level IV,705.00,721.00,651.00,557.00,573.00,595.00,706.00,721.00,739.00,835.00
CCI,Number and Housing Level of Incarcerated Persons,Level VI,,,,,,,,,,
CCI,Number and Housing Level of Incarcerated Persons,Non Level - Specific Beds,95.00,88.00,85.00,92.00,70.00,95.00,108.00,90.00,73.00,19.00
CCI,Number and Housing Level of Incarcerated Persons,Restricted Housing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.00
CCI,Number and Housing Level of Incarcerated Persons,Total Number of Incarcerated Persons,"1,710.00","1,709.00","1,594.00","1,631.00","1,740.00","2,044.00","2,371.00","2,420.00","2,413.00","2,479.00"
CCI,Number of Deaths,Expected,,,10.00,,,,1.00,,,
CCI,Number of Deaths,Homicide,,,,,,,,,,1.00
CCI,Number of Deaths,Suicide,,,1.00,,,1.00,,,,
CCI,Number of Deaths,Unexpected,,,2.00,,,,1.00,,,
CCI,Overtime Hours,Custody (Overtime),"6,442.96","8,889.51","13,836.14","12,744.86","13,763.54","22,783.59","20,354.55","18,236.88","20,192.02","17,604.00"
CCI,Overtime Hours,Dental + Mental Health (Overtime),55.00,85.50,75.25,101.25,95.25,81.00,19.75,82.25,90.25,152.30
CCI,Overtime Hours,Non-Custody (Overtime),"1,170.75","1,989.75","1,442.50","1,310.50","1,227.40","1,288.90","2,901.75","1,034.00","1,222.25","1,095.50"
CCI,Overtime Hours,Total Overtime Hours,"7,668.71","10,964.76","15,353.89","14,156.61","15,086.19","24,153.49","23,276.05","19,353.13","21,504.52","1,851.80"
CCI,Positions - Authorized and Vacant,Authorized,"1,052.20","1,052.20","1,052.20","1,052.20","1,052.20","1,052.20","1,052.20","1,052.20","1,052.20","1,052.40"
CCI,Rehabilitative Programs,Transitions - Operational Capacity,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00
CCI,Sick Leave Hours,Custody (Sick Leave),"3,954.50","4,432.50","4,612.75","4,489.25","4,128.75","5,280.50","3,472.12","3,971.50","5,088.50","5,504.50"
CCI,Sick Leave Hours,Dental + Mental Health (Sick Leave),404.75,312.00,221.25,431.75,231.25,349.00,385.25,254.00,237.00,355.50
CCI,Sick Leave Hours,Non-Custody (Sick Leave),"1,348.25","2,301.25","2,113.75","2,123.75","1,534.50","2,241.75","2,068.00","2,060.50","1,844.50","1,723.30"
CCI,Sick Leave Hours,Total Sick Leave Hours,"5,707.50","7,045.75","6,947.75","7,044.75","5,894.50","7,871.25","5,925.37","6,286.00","7,170.00","7,583.30"
CCI,Use of Force (UOF),Total UOF Incidents,34.00,39.00,44.00,39.00,40.00,37.00,58.00,49.00,38.00,38.00
CCWF,Cognitive Behavioral Intervention,Life Skills - Actual Enrollment,140.25,162.00,194.75,168.80,158.50,194.75,229.60,247.25,238.00,216.75
CCWF,Cognitive Behavioral Intervention,Life Skills - Operational Capacity,224.25,227.80,262.00,262.00,246.50,273.00,310.20,331.75,316.00,310.20
CCWF,Cognitive Behavioral Intervention,Outpatient - Actual Enrollment,112.75,143.60,129.75,135.60,146.25,141.75,132.20,118.50,130.00,117.25
