year,month,cdcr_code,in_custody
2024,1,WSP,3774
2024,1,CPMP,
2024,1,Alternative Custody Program,102
2024,1,Custody to Community Transitional Reentry Program,381
2024,1,Department of State Hospitals,136
2024,1,Male Community Reentry Facility,626
2024,1,Medical Parole,43
2024,1,Medical Reprieve Program,
2024,1,CCI,1784
2024,1,CCWF,2183
2024,1,CEN,2894
2024,1,CHCF,2238
2024,1,CIM,2194
2024,2,ASP,4862
2024,2,CIW,1171
2024,2,CMC,2320
2024,2,CMF,2186
2024,2,COR,3442
2024,2,CRC,3190
2024,2,CTF,4086
2024,2,CVSP,1499
2024,2,FOL,2710
2024,2,HDSP,2387
2024,2,ISP,2600
2024,2,KVSP,2994
2024,2,LAC,3017
2024,2,MCSP,3931
2024,2,NKSP,3485
2024,2,PBSP,1545
2024,2,PVSP,2717
2024,2,RJD,3301
2024,2,SAC,1865
2024,2,CAL,2591
2024,2,SATF,4216
2024,2,SCC,3984
2024,2,SOL,3948
2024,2,SQ,3556
2024,2,SVSP,2625
2024,2,VSP,3093
2024,2,WSP,3613
2024,2,CPMP,
2024,2,Alternative Custody Program,95
2024,2,Custody to Community Transitional Reentry Program,379
2024,2,Department of State Hospitals,136
2024,2,Male Community Reentry Facility,622
2024,2,Medical Parole,47
2024,2,Medical Reprieve Program,
2024,2,CCI,1774
2024,2,CCWF,2223
2024,2,CEN,2945
2024,2,CHCF,2211
2024,2,CIM,2181
2024,3,ASP,4796
2024,3,CIW,1150
2024,3,CMC,2356
2024,3,CMF,2158
2024,3,COR,2599
2024,3,CRC,3091
2024,3,CTF,4044
2024,3,CVSP,1136
2024,3,FOL,2662
2024,3,HDSP,2622
2024,3,ISP,2932
2024,3,KVSP,3133
2024,3,LAC,3149
2024,3,MCSP,3948
2024,3,NKSP,3291
2024,3,PBSP,1677
2024,3,PVSP,2657
2024,3,RJD,3356
2024,3,SAC,1862
2024,3,CAL,2839
2024,3,SATF,4338
2024,3,SCC,3966
2024,3,SOL,3932
2024,3,SQ,3523
2024,3,SVSP,2611
2024,3,VSP,3040
2024,3,WSP,3622
2024,3,CPMP,
2024,3,Alternative Custody Program,81
2024,3,Custody to Community Transitional Reentry Program,373
2024,3,Department of State Hospitals,146
2024,3,Male Community Reentry Facility,588
2024,3,Medical Parole,45
2024,3,Medical Reprieve Program,
2024,3,CCI,1751
2024,3,CCWF,2247
2024,3,CEN,3074
2024,3,CHCF,2209
2024,3,CIM,2201
2024,4,ASP,4744
2024,4,CIW,1174
2024,4,CMC,2311
2024,4,CMF,2101
2024,4,COR,2492
2024,4,CRC,2986
2024,4,CTF,3963
2024,4,CVSP,749
2024,4,FOL,2599
2024,4,HDSP,2636
2024,4,ISP,3283
2024,4,KVSP,3196
2024,4,LAC,3212
2024,4,MCSP,3958
2024,4,NKSP,3248
2024,4,PBSP,1848
2024,4,PVSP,2607
2024,4,RJD,3357
2024,4,SAC,1869
2024,4,CAL,2788
2024,4,SATF,4469
2024,4,SCC,3962
2024,4,SOL,3910
2024,4,SQ,3486
2024,4,SVSP,2558
2024,4,VSP,2999
2024,4,WSP,3795
2024,4,CPMP,
2024,4,Alternative Custody Program,76
2024,4,Custody to Community Transitional Reentry Program,380
2024,4,Department of State Hospitals,163
2024,4,Male Community Reentry Facility,588
2024,4,Medical Parole,46
2024,4,Medical Reprieve Program,
2024,4,CCI,1702
2024,4,CCWF,2215
2024,4,CEN,3131
2024,4,CHCF,2180
2024,4,CIM,2220
2024,5,ASP,4710
2024,5,CIW,1125
2024,5,CMC,2258
2024,5,CMF,2069
2024,5,COR,2549
2024,5,CRC,2900
2024,5,CTF,3986
2024,5,CVSP,489
2024,5,FOL,2577
2024,5,HDSP,2563
2024,5,ISP,3186
2024,5,KVSP,3339
2024,5,LAC,3205
2024,5,MCSP,3978
2024,5,NKSP,3378
2024,5,PBSP,1973
2024,5,PVSP,2474
2024,5,RJD,3373
2024,5,SAC,1868
2024,5,CAL,2842
2024,5,SATF,4722
2024,5,SCC,4041
2024,5,SOL,3943
2024,5,SQ,3333
2024,5,SVSP,2548
2024,5,VSP,3047
2024,5,WSP,3824
2024,5,CPMP,
2024,5,FCRF,398
2024,5,Alternative Custody Program,67
2024,5,Department of State Hospitals,158
2024,5,Male Community Reentry Facility,604
2024,5,Medical Parole,47
2024,5,Medical Reprieve Program,
2024,5,CCI,1679
2024,5,CCWF,2244
2024,5,CEN,3075
2024,5,CHCF,2152
2024,5,CIM,2217
2024,6,ASP,4654
2024,6,CIW,1167
2024,6,CMC,2194
2024,6,CMF,2052
2024,6,COR,2510
2024,6,CRC,2775
2024,6,CTF,3934
2024,6,CVSP,273
2024,6,FOL,2610
2024,6,HDSP,2548
2024,6,ISP,3147
2024,6,KVSP,3269
2024,6,LAC,3199
2024,6,MCSP,3967
2024,6,NKSP,3321
2024,6,PBSP,2183
2024,6,PVSP,2395
2024,6,RJD,3345
2024,6,SAC,1868
2024,6,CAL,2900
2024,6,SATF,4971
2024,6,SCC,4019
2024,6,SOL,4000
2024,6,SQ,3361
2024,6,SVSP,2527
2024,6,VSP,3145
2024,6,WSP,3701
2024,6,CPMP,
2024,6,FCRF,386
2024,6,Alternative Custody Program,63
2024,6,Department of State Hospitals,160
2024,6,Male Community Reentry Facility,583
2024,6,Medical Parole,48
2024,6,Medical Reprieve Program,
2024,6,CCI,1658
2024,6,CCWF,2214
2024,6,CEN,3006
2024,6,CHCF,2173
2024,6,CIM,2244
2024,7,ASP,4560
2024,7,CIW,1258
2024,7,CMC,2120
2024,7,CMF,2044
2024,7,COR,2493
2024,7,CRC,2782
2024,7,CTF,3965
2024,7,FOL,2731
2024,7,HDSP,2556
2024,7,ISP,3049
2024,7,KVSP,3220
2024,7,LAC,3227
2024,7,MCSP,3970
2024,7,NKSP,3119
2024,7,PBSP,2251
2024,7,PVSP,2364
2024,7,RJD,3096
2024,7,SAC,1929
2024,7,CAL,2894
2024,7,SATF,5486
2024,7,SCC,4048
2024,7,SOL,4086
2024,7,SQ,3295
2024,7,SVSP,2481
2024,7,VSP,3213
2024,7,WSP,3457
2024,7,CPMP,
2024,7,FCRF,389
2024,7,Alternative Custody Program,62
2024,7,Department of State Hospitals,158
2024,7,Male Community Reentry Facility,589
2024,7,Medical Parole,49
2024,7,Medical Reprieve Program,
2024,7,CCI,1710
2024,7,CCWF,2106
2024,7,CEN,3061
2024,7,CHCF,2172
2024,7,CIM,2250
2024,8,ASP,4431
2024,8,CIW,1286
2024,8,CMC,2087
2024,8,CMF,2017
2024,8,COR,2496
2024,8,CRC,2792
2024,8,CTF,4028
2024,8,FOL,2797
2024,8,HDSP,2718
2024,8,ISP,2954
2024,8,KVSP,3163
2024,8,LAC,3221
2024,8,MCSP,4015
2024,8,NKSP,3139
2024,8,PBSP,2211
2024,8,PVSP,2598
2024,8,RJD,2932
2024,8,SAC,2032
2024,8,CAL,2792
2024,8,SATF,5460
2024,8,SCC,3965
2024,8,SOL,4044
2024,8,SQ,3221
2024,8,SVSP,2509
2024,8,VSP,3264
2024,8,WSP,3314
2024,8,CPMP,
2024,8,FCRF,380
2024,8,Alternative Custody Program,49
2024,8,Department of State Hospitals,158
2024,8,Male Community Reentry Facility,590
2024,8,Medical Parole,49
2024,8,Medical Reprieve Program,
2024,8,CCI,1709
2024,8,CCWF,2092
2024,8,CEN,3101
2024,8,CHCF,2135
2024,8,CIM,2233
2024,9,ASP,4230
2024,9,CIW,1249
2024,9,CMC,2044
2024,9,CMF,1992
2024,9,COR,2477
2024,9,CRC,2804
2024,9,CTF,4168
2024,9,FOL,2784
2024,9,HDSP,2840
2024,9,ISP,2948
2024,9,KVSP,3138
2024,9,LAC,3270
2024,9,MCSP,3992
2024,9,NKSP,3104
2024,9,PBSP,2195
2024,9,PVSP,2871
2024,9,RJD,2863
2024,9,SAC,2147
2024,9,CAL,2613
2024,9,SATF,5471
2024,9,SCC,4004
2024,9,SOL,4004
2024,9,SQ,3152
2024,9,SVSP,2519
2024,9,VSP,3308
2024,9,WSP,3444
2024,9,CPMP,
2024,9,FCRF,372
2024,9,Alternative Custody Program,36
2024,9,Department of State Hospitals,160
2024,9,Male Community Reentry Facility,576
2024,9,Medical Parole,49
2024,9,Medical Reprieve Program,
2024,9,CCI,1594
2024,9,CCWF,2107
2024,9,CEN,3084
2024,9,CHCF,2120
2024,9,CIM,2283
2024,10,ASP,4056
2024,10,CIW,1208
2024,10,CMC,2163
2024,10,CMF,1937
2024,10,COR,2646
2024,10,CRC,2873
2024,10,CTF,4387
2024,10,FOL,2746
2024,10,HDSP,2887
2024,10,ISP,2922
2024,10,KVSP,3156
2024,10,LAC,3317
2024,10,MCSP,3940
2024,10,NKSP,3071
2024,10,PBSP,2154
2024,10,PVSP,2963
2024,10,RJD,2840
2024,10,SAC,2182
2024,10,CAL,2523
2024,10,SATF,5396
2024,10,SCC,4031
2024,10,SOL,3902
2024,10,SQ,3043
2024,10,SVSP,2519
2024,10,VSP,3308
2024,10,WSP,3461
2024,10,CPMP,
2024,10,FCRF,373
2024,10,Alternative Custody Program,32
2024,10,Department of State Hospitals,161
2024,10,Male Community Reentry Facility,628
2024,10,Medical Parole,44
2024,10,Medical Reprieve Program,
2024,10,CCI,1631
2024,10,CCWF,2112
2024,10,CEN,2950
2024,10,CHCF,2118
2024,10,CIM,2218
2024,11,ASP,3895
2024,11,CIW,1204
2024,11,CMC,2236
2024,11,CMF,1916
2024,11,COR,2742
2024,11,CRC,2855
2024,11,CTF,4472
2024,11,FOL,2846
2024,11,HDSP,2865
2024,11,ISP,2966
2024,11,KVSP,3210
2024,11,LAC,3289
2024,11,MCSP,3886
2024,11,NKSP,3014
2024,11,PBSP,2129
2024,11,PVSP,2919
2024,11,RJD,2966
2024,11,SAC,2244
2024,11,CAL,2466
2024,11,SATF,5334
2024,11,SCC,4142
2024,11,SOL,3883
2024,11,SQ,2992
2024,11,SVSP,2519
2024,11,VSP,3263
2024,11,WSP,3228
2024,11,CPMP,
2024,11,FCRF,366
2024,11,Alternative Custody Program,20
2024,11,Department of State Hospitals,169
2024,11,Male Community Reentry Facility,656
2024,11,Medical Parole,34
2024,11,Medical Reprieve Program,
