institution,fiscal_year,category,metric,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
CHCF,2021-2022,Use of Force (UOF),Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CIM,2021-2022,Fiscal,Actual Expenditures ($),"17,551,867.82","35,732,701.88","58,065,516.34","76,620,093.22","96,417,908.14","119,210,779.75","138,528,571.19","158,547,152.68","177,341,722.10","196,968,685.64","216,852,286.59","237,586,250.02"
CIM,2021-2022,Fiscal,Institution Budget ($),"213,668,924.00","213,898,082.00","213,898,082.00","213,984,790.00","221,290,949.00","221,325,670.00","223,022,275.00","224,047,718.00","224,001,809.00","234,125,697.00","237,231,120.00","237,377,477.00"
CIM,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.00,0.00,0.00,0.00,0.58,4.57,29.44,16.17,1.24,0.06,0.54,0.00
CIM,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CIM,2021-2022,Number of Deaths,Expected,,,,,2.00,,1.00,2.00,2.00,,2.00,1.00
CIM,2021-2022,Number of Deaths,Suicide,1.00,1.00,,1.00,,,,,,,,
CIM,2021-2022,Number of Deaths,Unexpected,,1.00,,,,,,2.00,,1.00,,
CIM,2021-2022,Overtime Hours,Custody (Overtime),"22,274.02","36,242.48","23,126.87","31,784.14","28,543.44","31,139.75","40,062.12","24,506.45","29,254.30","31,439.10","43,705.10","34,117.95"
CIM,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CIM,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CIM,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),202.40,216.30,147.42,150.08,204.28,140.26,213.88,174.89,175.08,168.00,182.83,147.04
CIM,2021-2022,Overtime Hours,Non-Custody (Overtime),"3,221.91","3,851.83","3,279.08","4,418.50","2,952.25","3,389.00","5,063.50","2,785.00","2,676.75","2,347.00","4,462.00","3,635.00"
CIM,2021-2022,Overtime Hours,Total Overtime Hours,"25,698.33","40,310.61","26,553.37","36,352.72","31,699.97","34,669.01","45,339.50","27,466.34","32,106.13","33,954.10","48,349.93","37,899.99"
CIM,2021-2022,Use of Force (UOF),Total UOF Incidents,4.00,4.00,5.00,3.00,2.00,6.00,1.00,2.00,3.00,7.00,15.00,6.00
CIW,2021-2022,Fiscal,Actual Expenditures ($),"9,940,408.96","21,412,335.10","33,038,891.75","44,588,589.03","56,397,062.67","70,271,524.72","81,472,582.50","93,337,949.89","105,127,543.17","116,518,445.68","128,048,168.43","140,726,585.53"
CIW,2021-2022,Fiscal,Institution Budget ($),"129,929,435.00","129,899,314.00","129,899,314.00","129,899,314.00","136,651,718.00","136,651,718.00","136,899,572.00","137,326,910.00","137,090,764.00","142,024,829.00","142,028,769.00","142,130,658.00"
CIW,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.00,0.00,7.10,0.00,0.00,2.83,22.48,12.13,0.00,0.00,0.00,0.88
CIW,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CIW,2021-2022,Number of Deaths,Expected,,,,,,,1.00,1.00,,1.00,,
CIW,2021-2022,Number of Deaths,Unexpected,,,,,1.00,,,,,,,
CIW,2021-2022,Overtime Hours,Custody (Overtime),"11,868.29","17,278.98","13,857.71","15,920.87","12,932.73","12,012.73","19,092.21","12,905.00","14,065.87","13,869.84","18,069.01","13,355.21"
CIW,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),192.90,218.40,180.80,163.05,333.80,182.20,415.75,244.05,228.75,246.30,259.45,240.60
CIW,2021-2022,Overtime Hours,Non-Custody (Overtime),761.25,720.00,639.00,"1,088.00","1,101.25","1,801.00","1,977.75","1,849.75","1,595.50","1,780.75","2,877.35","1,407.00"
CIW,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CIW,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CIW,2021-2022,Overtime Hours,Total Overtime Hours,"12,822.44","18,217.38","14,677.51","17,171.92","14,367.78","13,995.93","21,485.71","14,998.80","15,890.12","15,896.89","21,205.81","15,002.81"
CIW,2021-2022,Use of Force (UOF),Total UOF Incidents,3.00,11.00,7.00,10.00,10.00,11.00,15.00,6.00,6.00,15.00,10.00,9.00
CIW,2021-2022,Use of Force (UOF),Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CIW,2021-2022,Use of Force (UOF),Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CMC,2021-2022,Fiscal,Actual Expenditures ($),"18,851,986.16","38,111,310.42","58,114,889.34","77,093,596.20","96,421,936.09","118,682,333.92","138,026,052.52","158,150,032.99","177,065,464.46","196,265,084.43","215,659,774.40","236,059,430.91"
CMC,2021-2022,Fiscal,Institution Budget ($),"210,272,742.00","210,262,420.00","210,262,420.00","210,262,420.00","224,519,294.00","224,537,714.00","225,940,167.00","227,250,052.00","226,955,611.00","237,082,892.00","237,682,392.00","238,084,165.00"
CMC,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.45,0.11,0.05,0.00,0.03,0.08,21.84,26.31,27.22,0.00,3.91,9.32
CMC,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMC,2021-2022,Number of Deaths,Expected,1.00,,,,,,,,,1.00,,
CMC,2021-2022,Number of Deaths,Suicide,,,,,,,,,1.00,,,
