Year,Month,Location,Age Group,Population
2025,Jan,Alternative Custody Program,50-54 Years,(Blank)
2025,Jan,Alternative Custody Program,55-59 Years,(Blank)
2025,Jan,Alternative Custody Program,60-64 Years,(Blank)
2025,Jan,Alternative Custody Program,65-69 Years,(Blank)
2025,Jan,Alternative Custody Program,70-74 Years,(Blank)
2025,Jan,Alternative Custody Program,75-79 Years,(Blank)
2025,Jan,Alternative Custody Program,80-84 Years,(Blank)
2025,Jan,Alternative Custody Program,85-89 Years,(Blank)
2025,Jan,Alternative Custody Program,90-94 Years,(Blank)
2025,Jan,Alternative Custody Program,95 and Older,(Blank)
2025,Jan,Department of State Hospitals,18-24 Years,*
2025,Jan,Department of State Hospitals,25-29 Years,10
2025,Jan,Department of State Hospitals,30-34 Years,22
2025,Jan,Department of State Hospitals,35-39 Years,33
2025,Jan,Department of State Hospitals,40-44 Years,28
2025,Jan,Department of State Hospitals,45-49 Years,25
2025,Jan,Department of State Hospitals,50-54 Years,15
2025,Jan,Department of State Hospitals,55-59 Years,14
2025,Jan,Department of State Hospitals,60-64 Years,14
2025,Jan,Department of State Hospitals,65-69 Years,*
2025,Jan,Department of State Hospitals,70-74 Years,*
2025,Jan,Department of State Hospitals,75-79 Years,*
2025,Jan,Department of State Hospitals,80-84 Years,*
2025,Jan,Department of State Hospitals,85-89 Years,(Blank)
2025,Jan,Department of State Hospitals,90-94 Years,(Blank)
2025,Jan,Department of State Hospitals,95 and Older,(Blank)
2025,Jan,Male Community Reentry Facility,18-24 Years,25
2025,Jan,Male Community Reentry Facility,25-29 Years,66
2025,Jan,Male Community Reentry Facility,30-34 Years,144
2025,Jan,Male Community Reentry Facility,35-39 Years,115
2025,Jan,Male Community Reentry Facility,40-44 Years,100
2025,Jan,Male Community Reentry Facility,45-49 Years,73
2025,Jan,Male Community Reentry Facility,50-54 Years,49
2025,Jan,Male Community Reentry Facility,55-59 Years,33
2025,Jan,Male Community Reentry Facility,60-64 Years,31
2025,Jan,Male Community Reentry Facility,65-69 Years,13
2025,Jan,Male Community Reentry Facility,70-74 Years,*
2025,Jan,Male Community Reentry Facility,75-79 Years,(Blank)
2025,Jan,Male Community Reentry Facility,80-84 Years,(Blank)
2025,Jan,Male Community Reentry Facility,85-89 Years,(Blank)
2025,Jan,Male Community Reentry Facility,90-94 Years,(Blank)
2025,Jan,Male Community Reentry Facility,95 and Older,(Blank)
2025,Jan,Medical Reprieve Program,18-24 Years,(Blank)
2025,Jan,Medical Reprieve Program,25-29 Years,(Blank)
2025,Jan,Medical Reprieve Program,30-34 Years,(Blank)
2025,Jan,Medical Reprieve Program,35-39 Years,(Blank)
2025,Jan,Medical Reprieve Program,40-44 Years,(Blank)
2025,Jan,Medical Reprieve Program,45-49 Years,(Blank)
2025,Jan,Medical Reprieve Program,50-54 Years,(Blank)
2025,Jan,Medical Reprieve Program,55-59 Years,*
2025,Jan,Medical Reprieve Program,60-64 Years,*
2025,Jan,Medical Reprieve Program,65-69 Years,(Blank)
2025,Jan,Medical Reprieve Program,70-74 Years,(Blank)
2025,Jan,Medical Reprieve Program,75-79 Years,*
2025,Jan,Medical Reprieve Program,80-84 Years,(Blank)
2025,Jan,Medical Reprieve Program,85-89 Years,*
2025,Jan,Medical Reprieve Program,90-94 Years,(Blank)
2025,Jan,Medical Reprieve Program,95 and Older,(Blank)
2025,Jan,CCI,18-24 Years,172
2025,Jan,CCI,25-29 Years,338
2025,Jan,CCI,30-34 Years,407
2025,Jan,CCI,35-39 Years,389
2025,Jan,CCI,40-44 Years,367
2025,Jan,CCI,45-49 Years,281
2025,Jan,CCI,50-54 Years,176
2025,Jan,CCI,55-59 Years,120
2025,Jan,CCI,60-64 Years,72
2025,Jan,CCI,65-69 Years,36
2025,Jan,CCI,70-74 Years,*
2025,Jan,CCI,75-79 Years,*
2025,Jan,CCI,80-84 Years,*
2025,Jan,CCI,85-89 Years,(Blank)
2025,Jan,CCI,90-94 Years,(Blank)
2025,Jan,CCI,95 and Older,(Blank)
2025,Jan,CCWF,18-24 Years,87
2025,Jan,CCWF,25-29 Years,255
2025,Jan,CCWF,30-34 Years,389
2025,Jan,CCWF,35-39 Years,367
2025,Jan,CCWF,40-44 Years,295
2025,Jan,CCWF,45-49 Years,195
2025,Jan,CCWF,50-54 Years,130
2025,Jan,CCWF,55-59 Years,106
2025,Jan,CCWF,60-64 Years,71
2025,Jan,CCWF,65-69 Years,58
2025,Jan,CCWF,70-74 Years,29
2025,Jan,CCWF,75-79 Years,*
2025,Jan,CCWF,80-84 Years,*
2025,Jan,CCWF,85-89 Years,(Blank)
2025,Jan,CCWF,90-94 Years,*
2025,Jan,CCWF,95 and Older,(Blank)
2025,Jan,CEN,18-24 Years,83
2025,Jan,CEN,25-29 Years,414
2025,Jan,CEN,30-34 Years,690
2025,Jan,CEN,35-39 Years,530
2025,Jan,CEN,40-44 Years,422
2025,Jan,CEN,45-49 Years,303
2025,Jan,CEN,50-54 Years,185
2025,Jan,CEN,55-59 Years,94
2025,Jan,CEN,60-64 Years,58
2025,Jan,CEN,65-69 Years,12
2025,Jan,CEN,70-74 Years,*
2025,Jan,CEN,75-79 Years,(Blank)
2025,Jan,CEN,80-84 Years,*
2025,Jan,CEN,85-89 Years,(Blank)
2025,Jan,CEN,90-94 Years,(Blank)
2025,Jan,CEN,95 and Older,(Blank)
2025,Jan,CHCF,18-24 Years,15
2025,Jan,CHCF,25-29 Years,54
2025,Jan,CHCF,30-34 Years,134
2025,Jan,CHCF,35-39 Years,137
2025,Jan,CHCF,40-44 Years,167
2025,Jan,CHCF,45-49 Years,175
2025,Jan,CHCF,50-54 Years,210
2025,Jan,CHCF,55-59 Years,235
2025,Jan,CHCF,60-64 Years,239
2025,Jan,CHCF,65-69 Years,244
2025,Jan,CHCF,70-74 Years,223
2025,Jan,CHCF,75-79 Years,153
2025,Jan,CHCF,80-84 Years,68
2025,Jan,CHCF,85-89 Years,28
2025,Jan,CHCF,90-94 Years,12
2025,Jan,CHCF,95 and Older,*
2025,Jan,CIM,18-24 Years,25
2025,Jan,CIM,25-29 Years,85
2025,Jan,CIM,30-34 Years,160
2025,Jan,CIM,35-39 Years,216
2025,Jan,CIM,40-44 Years,234
2025,Jan,CIM,45-49 Years,222
2025,Jan,CIM,50-54 Years,226
2025,Jan,CIM,55-59 Years,255
2025,Jan,CIM,60-64 Years,251
2025,Jan,CIM,65-69 Years,218
2025,Jan,CIM,70-74 Years,188
2025,Jan,CIM,75-79 Years,107
2025,Jan,CIM,80-84 Years,40
2025,Jan,CIM,85-89 Years,11
2025,Jan,CIM,90-94 Years,(Blank)
2025,Jan,CIM,95 and Older,(Blank)
2025,Feb,ASP,18-24 Years,136
2025,Feb,ASP,25-29 Years,272
2025,Feb,ASP,30-34 Years,390
2025,Feb,ASP,35-39 Years,592
2025,Feb,ASP,40-44 Years,676
2025,Feb,ASP,45-49 Years,569
