facilityid,slug,name,first_seen,retired
10000805,san-francisco-county-jail-3,San Francisco County Jail #3,2026-07-16,
10005307,san-francisco-general-hospital-ward-7d-7l,San Francisco General Hospital Ward 7D / 7L,2026-07-16,
10000798,san-joaquin-county-jail,San Joaquin County Jail,2026-07-16,
10000795,san-joaquin-county-jail-honor-farm,San Joaquin County Jail (Honor Farm),2026-07-16,
10000797,san-joaquin-county-juvenile-hall,San Joaquin County Juvenile Hall,2026-07-16,
10005339,san-luis-obispo-county-honor-farm-jail,San Luis Obispo County Honor Farm Jail,2026-07-16,
10000854,san-luis-obispo-county-jail,San Luis Obispo County Jail,2026-07-16,
10001534,san-luis-obispo-juvenile-hall-service-center,San Luis Obispo Juvenile Hall / Service Center,2026-07-16,
10000790,san-quentin-state-prison-sq,San Quentin State Prison (Sq),2026-07-16,
10006325,santa-ana-city-jail,Santa Ana City Jail,2026-07-16,
10000865,santa-barbara-county-main-jail,Santa Barbara County Main Jail,2026-07-16,
10005352,santa-barbara-county-medium-security-facility,Santa Barbara County Medium Security Facility,2026-07-16,
10005353,santa-barbara-county-santa-maria-station-jail,Santa Barbara County Santa Maria Station Jail,2026-07-16,
10005314,santa-clara-county-juvenile-hall,Santa Clara County Juvenile Hall,2026-07-16,
10005315,santa-clara-county-main-jail-complex-north,Santa Clara County Main Jail Complex (North),2026-07-16,
10006232,santa-clara-county-main-jail-complex-south,Santa Clara County Main Jail Complex (South),2026-07-16,
10001528,santa-cruz-blaine-street-facility,Santa Cruz Blaine Street Facility,2026-07-16,
10000815,santa-cruz-county-juvenile-hall,Santa Cruz County Juvenile Hall,2026-07-16,
10001529,santa-cruz-county-main-jail,Santa Cruz County Main Jail,2026-07-16,
10005321,santa-cruz-rountree-medium-security-facility,Santa Cruz Rountree Medium Security Facility,2026-07-16,
10000868,santa-maria-juvenile-hall,Santa Maria Juvenile Hall,2026-07-16,
10006908,santa-monica-jail,Santa Monica Jail,2026-07-16,
10002331,santa-rita-jail,Santa Rita Jail,2026-07-16,
10006497,seal-beach-detention-center,Seal Beach Detention Center,2026-07-16,
10000845,shafter-modified-community-correctional-facility,Shafter Modified Community Correctional Facility,2026-07-16,
10005260,shasta-county-jail,Shasta County Jail,2026-07-16,
10005259,shasta-county-juvenile-hall,Shasta County Juvenile Hall,2026-07-16,
10001522,sierra-conservation-center-scc,Sierra Conservation Center (Scc),2026-07-16,
10005277,sierra-county-jail-temporary-holding-facility,Sierra County Jail Temporary Holding Facility,2026-07-16,
10006498,signal-hill-city-jail,Signal Hill City Jail,2026-07-16,
10005247,siskiyou-county-jail,Siskiyou County Jail,2026-07-16,
10000787,solano-county-claybank-detention-facility,Solano County Claybank Detention Facility,2026-07-16,
10000788,solano-county-justice-center-detention-facility,Solano County Justice Center Detention Facility,2026-07-16,
10005297,solano-county-juvenile-detention-facility,Solano County Juvenile Detention Facility,2026-07-16,
10006711,solano-county-stanton-correctional-facility,Solano County Stanton Correctional Facility,2026-07-16,
10005293,sonoma-county-juvenile-hall,Sonoma County Juvenile Hall,2026-07-16,
10002321,sonoma-county-main-adult-detention-facility,Sonoma County Main Adult Detention Facility,2026-07-16,
10005294,sonoma-county-probation-camp,Sonoma County Probation Camp,2026-07-16,
10000870,south-bay-detention-facility,South Bay Detention Facility,2026-07-16,
10006907,south-gate-jail,South Gate Jail,2026-07-16,
10006440,south-lake-juvenile-treatment-center,South Lake Juvenile Treatment Center,2026-07-16,
10006706,south-placer-jail,South Placer Jail,2026-07-16,
10005344,southwest-juvenile-hall,Southwest Juvenile Hall,2026-07-16,
10002329,stanislaus-county-juvenile-hall-and-commitment-facility,Stanislaus County Juvenile Hall And Commitment Facility,2026-07-16,
10005300,stanislaus-county-mens-jail,Stanislaus County Men'S Jail,2026-07-16,
10002328,stanislaus-county-public-safety-center,Stanislaus County Public Safety Center,2026-07-16,
10006712,stanislaus-county-public-safety-center-unit-1-and-unit-2,Stanislaus County Public Safety Center Unit 1 And Unit 2,2026-07-16,
10005258,sugar-pine-conservation-camp-9,Sugar Pine Conservation Camp #9,2026-07-16,
10005316,sunnyvale-department-of-public-safety,Sunnyvale Department Of Public Safety,2026-07-16,
10000777,sutter-county-jail,Sutter County Jail,2026-07-16,
10000846,taft-modified-community-correctional-facility,Taft Modified Community Correctional Facility,2026-07-16,
10005266,tehama-county-jail,Tehama County Jail,2026-07-16,
10005268,tehama-county-juvenile-detention-facility,Tehama County Juvenile Detention Facility,2026-07-16,
10005346,theo-lacy-facility,Theo Lacy Facility,2026-07-16,
10000911,torrance-city-jail,Torrance City Jail,2026-07-16,
10006230,transitional-facilities,Transitional Facilities,2026-07-16,
20000100,trinity-county-correctional-facility,Trinity County Correctional Facility,2026-07-16,
10005255,trinity-county-juvenile-hall,Trinity County Juvenile Hall,2026-07-16,
10005257,trinity-county-sheriffs-department,Trinity County Sheriffs Department,2026-07-16,
10005256,trinity-river-conservation-camp-3,Trinity River Conservation Camp #3,2026-07-16,
10002337,tulare-county-adult-pre-trial-facility,Tulare County Adult Pre-Trial Facility,2026-07-16,
10002336,tulare-county-jail-sheriff,Tulare County Jail / Sheriff,2026-07-16,
10002335,tulare-county-juvenile-detention-facility,Tulare County Juvenile Detention Facility,2026-07-16,
10000823,tulare-county-mens-correctional-facility,Tulare County Men'S Correctional Facility,2026-07-16,
10002334,tulare-county-probation-youth-facility,Tulare County Probation Youth Facility,2026-07-16,
10001523,tuolumne-county-jail,Tuolumne County Jail,2026-07-16,
10005375,twin-towers-correctional-facility,Twin Towers Correctional Facility,2026-07-16,
10000806,usp-atwater,Usp Atwater,2026-07-16,
10006194,usp-atwater-camp,Usp Atwater Camp,2026-07-16,
10000864,usp-lompoc,Usp Lompoc,2026-07-16,
10000867,usp-lompoc-camp,Usp Lompoc Camp,2026-07-16,
10006299,usp-lompoc-north-camp,Usp Lompoc North Camp,2026-07-16,
10000830,usp-victorville,Usp Victorville,2026-07-16,
10005299,vallecito-conservation-camp-1,Vallecito Conservation Camp #1,2026-07-16,
10000802,valley-state-prison-vsp,Valley State Prison (Vsp),2026-07-16,
10005275,valley-view-conservation-camp-34,Valley View Conservation Camp #34,2026-07-16,
10005362,ventura-conservation-camp-46,Ventura Conservation Camp #46,2026-07-16,
10000884,ventura-county-east-county-jail,Ventura County East County Jail,2026-07-16,
10000885,ventura-county-juvenile-justice-complex,Ventura County Juvenile Justice Complex,2026-07-16,
10000886,ventura-county-pre-trial-detention-facility-main-jail,Ventura County Pre-Trial Detention Facility (Main Jail),2026-07-16,
10000882,ventura-county-todd-road-facility,Ventura County Todd Road Facility,2026-07-16,
10005365,vernon-city-jail-holding-facility,Vernon City Jail (Holding Facility),2026-07-16,
10005358,vista-detention-facility,Vista Detention Facility,2026-07-16,
10000847,wasco-state-prison-wsp,Wasco State Prison (Wsp),2026-07-16,
